page,table_idx,x0,y0,x1,y1
1,0,66.47,483.29,537.21,718.06
2,0,69.04,105.16,542.63,386.94
3,0,68.49,335.66,553.48,641.13
5,0,71.9,104.35,544.38,331.08
6,0,69.24,107.53,542.77,292.98
7,0,70.34,105.03,540.98,157.7
9,0,69.65,118.94,546.55,532.68
10,0,69.32,109.05,543.81,496.97
11,0,69.46,157.23,541.68,358.2
11,1,69.04,437.15,536.22,682.28
12,0,69.62,130.25,550.84,499.92
13,0,69.64,131.11,550.04,308.42
13,1,69.67,365.19,550.31,551.54
14,0,69.14,131.7,547.71,596.15
15,0,69.72,132.02,540.39,585.07
16,0,69.68,131.95,531.82,583.58
17,0,69.49,125.84,547.54,418.08
18,0,69.45,237.85,546.87,442.3
19,0,69.65,191.14,541.75,295.85
