page,table_idx,x0,y0,x1,y1
4,0,70.73,114.18,541.04,598.76
5,0,71.17,108.02,541.15,447.95
6,0,70.83,102.19,541.77,705.0
7,0,71.04,91.45,582.11,689.99
8,0,70.9,90.65,575.15,737.17
9,0,71.03,102.74,540.17,472.76
10,0,70.21,102.5,543.73,722.07
13,0,84.73,178.07,538.98,239.58
13,1,92.2,417.77,556.36,573.62
13,2,91.48,623.63,555.18,713.38
14,0,82.86,107.16,546.45,283.74
14,1,83.04,337.33,546.15,416.08
14,2,82.95,453.73,546.11,551.2
14,3,82.89,590.57,546.27,679.18
15,0,83.24,108.12,541.3,229.76
15,1,82.55,269.46,542.24,501.19
16,0,82.91,107.99,541.44,219.81
16,1,82.47,258.8,541.97,421.58
16,2,83.15,460.74,542.06,539.6
17,0,90.43,136.53,540.37,655.84
18,0,89.91,134.37,540.95,490.03
20,0,83.83,136.66,539.41,577.14
23,0,83.73,168.7,545.87,522.07
24,0,83.47,154.14,541.14,393.67
24,1,83.22,444.39,539.28,642.57
25,0,83.31,157.48,539.23,355.79
25,1,82.57,387.18,538.69,565.15
26,0,79.78,147.84,548.13,309.13
