page,y0,x0,text,font_size,bold,alignment,is_dateish
1,350.53,269.24,Pillar3andLiquidityDisclosures,16.0,True,left,False
1,390.09,413.89,31March2022,16.0,False,right,True
3,93.66,54.03,PART A: PILLAR3DISCLOSURES,8.97,True,left,False
3,118.02,54.29,1 INTRODUCTION,8.97,True,left,False
3,345.86,53.05,2 SCOPEOFCONSOLIDATION,8.97,True,left,False
4,93.95,52.98,3 OVERVIEW OFKEY PRUDENTIALREGULATORY METRICS,8.97,True,left,False
5,93.5,53.77,4 LEVERAGERATIO,8.97,True,left,False
8,93.37,53.2,6 CREDIT RISK,8.97,True,left,False
8,117.62,52.99,6.1 IRBA- RWAFlow Statement for Credit RiskExposures,8.97,True,left,False
8,403.4,53.02,"7 COUNTERPARTY CREDIT RISK(""CCR"")",8.97,True,left,False
8,424.78,53.14,7.1 RWAFlow Statementsunder theCCRInternal ModelsMethod,8.97,True,left,False
8,490.96,53.4,8 MARKET RISK,8.97,True,left,False
8,513.02,52.84,8.1 RWAFlow Statementsof Market RiskExposuresunder IMA,8.97,True,left,False
9,93.43,53.67,PART B: LIQUIDITY COVERAGERATIO (“LCR”) DISCLOSURES,8.97,True,left,False
10,94.74,55.73,1.1AverageAll-CurrencyLCRfortheQuarterended31March2022,9.0,True,left,False
11,93.17,53.89,1.2 AverageSGD LCR for theQuarter ended 31March 2022 (Number of datapoints: 90),8.97,True,left,True
11,94.74,55.73,1.2AverageSGDLCRfortheQuarterended31March2022,9.0,True,left,False
12,94.67,54.39,1.3 LiquidityCoverageRatio,8.97,True,left,False
12,283.42,63.41,a) Compositionof HighQualityLiquidAssets(“HQLA”),8.97,True,left,False
12,423.11,63.5,b) Concentrationof FundingSources,8.97,True,left,False
12,516.69,63.45,c) DerivativeExposuresandPotential Collateral Calls,8.97,True,left,False
13,94.8,54.42,1.3 LiquidityCoverageRatio(continued),8.97,True,left,False
13,118.96,64.22,d) CurrencyMismatch,8.97,True,center,False
13,212.98,63.59,e) Centralizationof LiquidityManagement,8.97,True,left,False
