page,table_idx,x0,y0,x1,y1
4,0,70.77,113.17,539.25,624.65
5,0,70.67,94.17,540.07,448.69
6,0,70.4,101.73,541.62,736.84
7,0,70.72,92.07,581.94,715.3
8,0,70.78,91.99,581.73,715.05
9,0,69.4,102.47,531.21,449.98
10,0,70.0,92.71,538.87,749.51
12,0,71.7,527.48,316.2,562.46
13,0,68.64,338.91,531.72,496.79
13,1,68.88,532.27,531.93,705.93
14,0,67.5,108.04,531.67,199.57
14,1,67.29,236.96,531.82,339.17
14,2,67.82,377.58,529.81,467.07
14,3,68.94,507.17,530.3,647.66
15,0,67.22,105.48,531.91,310.47
15,1,68.86,482.91,527.6,594.48
16,0,66.44,105.28,528.21,281.99
16,1,67.02,320.29,528.24,400.87
17,0,75.92,134.61,520.87,631.99
18,0,76.2,131.96,526.9,489.03
20,0,69.4,136.16,524.92,431.38
20,1,69.33,463.14,525.05,572.14
23,0,79.25,171.79,539.0,482.45
24,0,69.64,155.83,527.15,589.67
25,0,69.1,157.95,524.94,313.33
25,1,68.81,333.57,525.01,496.98
25,2,68.16,525.31,524.85,700.68
26,0,65.07,147.21,524.69,311.73
