page,y0,x0,text,font_size,bold,alignment,is_dateish
30,305.79,55.9,D) OtherSpecificTopics,9.0,True,left,False
30,326.74,55.59,2.19 Hedging and hedgeaccounting,9.0,True,left,False
30,358.7,312.26,• Net investmenthedge,9.0,True,center,False
30,649.25,55.56,• Fairvalue hedge,9.0,True,left,False
30,701.76,311.87,2.20 Employee benefits,9.0,True,center,False
30,704.81,313.59,2.20Employeebenefits,9.0,True,center,False
31,206.06,56.0,2.21 Share-based compensation,9.0,True,left,False
31,350.69,55.78,2.22 Current and deferred taxes,9.0,True,left,False
31,353.72,57.62,2.22Currentanddeferredtaxes,9.0,True,left,False
32,83.04,54.83,3. Critical AccountingEstimates,9.0,True,left,False
32,83.46,82.59,Critical AccountingEstimates,9.0,True,center,False
32,86.42,57.6,3.CriticalAccountingEstimates,9.0,True,left,False
32,120.28,312.16,3.4 Incometaxes,9.0,True,center,False
32,253.12,55.93,3.1 Impairment of financial assets,9.0,True,left,False
32,439.88,55.86,3.2 Fairvalue of financial instruments,9.0,True,left,False
32,677.61,55.78,3.3 Goodwillimpairment,9.0,True,left,False
33,85.46,57.6,4.NetInterestIncome,9.0,True,left,False
33,343.94,57.6,5.NetFeeandCommissionIncome,9.0,True,left,False
34,85.46,57.6,6.NetTradingIncome,9.0,True,left,False
34,220.46,57.6,7.NetIncomefromInvestmentSecurities,9.0,True,left,False
34,400.79,55.18,8. Other Income,9.0,True,left,False
34,548.0,55.13,9. Employee Benefits,9.0,True,left,False
35,85.46,56.64,10.OtherExpenses,9.0,True,left,False
35,436.7,56.64,11.AllowancesforCreditandOtherLosses,9.0,True,left,False
40,376.79,54.57,Sensitivity of ECL,9.0,True,left,False
40,494.17,53.86,12. Share of Profits or Losses of Associates and Joint Ventures,9.0,True,left,False
40,497.42,56.64,12.ShareofProfitsorLossesofAssociatesandJointVentures,9.0,True,left,False
42,85.46,56.64,14.ClassificationofFinancialInstruments,9.0,True,left,False
44,110.11,54.28,Financial assetsandliabilities offset on the balance sheet,9.0,True,left,False
44,182.48,54.07,Financial assetsandliabilities subject to netting agreements butnot offset onthe balancesheet,9.0,True,left,False
46,537.62,56.64,15.CashandBalanceswithCentralBanks,9.0,True,left,False
47,85.1,56.64,16.GovernmentSecuritiesandTreasuryBills,9.0,True,left,False
47,224.66,56.64,17.BankandCorporateSecurities,9.0,True,left,False
47,378.74,56.64,18.LoansandAdvancestoCustomers,9.0,True,left,False
48,82.18,55.11,19. Financial Assets PledgedorTransferred,9.0,True,left,False
48,190.26,53.8,Securitiesand Certificates of deposit,9.0,True,left,False
48,516.47,53.95,Covered bonds,9.0,True,left,False
49,85.46,56.64,20.OtherAssets,9.0,True,left,False
49,249.97,53.3,21. Deferred Tax Assets/ Liabilities,9.0,True,left,False
49,252.98,56.64,21.DeferredTaxAssets/Liabilities,9.0,True,left,False
50,227.01,54.43,22.1 Main operating subsidiaries,9.0,True,left,False
50,538.82,54.23,22.2 Consolidated structured entity,9.0,True,left,False
51,422.07,54.56,23.1 Main associates,9.0,True,left,False
52,82.0,52.92,24. Unconsolidated Structured Entities,9.0,True,left,False
52,85.46,56.64,24.UnconsolidatedStructuredEntities,9.0,True,left,False
53,82.24,53.33,25. Acquisitions,9.0,True,left,False
53,85.46,56.64,25.Acquisitions,9.0,True,left,False
53,106.99,54.15,25.1 Shenzhen Rural Commercial Bank Corporation Limited,9.0,True,left,False
53,110.06,56.64,25.1ShenzhenRuralCommercialBankCorporationLimited,9.0,True,left,False
53,283.35,54.17,25.2 Consumer banking business of Citigroup Inc (“Citi”) in Taiwan,9.0,True,left,False
53,404.78,56.64,26.PropertiesandOtherFixedAssets,9.0,True,left,False
