page,y0,x0,text,font_size,bold,alignment,is_dateish
54,90.87,51.43,12.2.2 CVARiskCapital Requirements,8.52,False,left,False
54,379.56,51.54,12.2.3 Credit DerivativeExposures,8.52,False,left,False
55,89.94,51.51,12.2.3 Credit Derivative Exposures (continued),8.52,False,left,False
55,156.18,51.51,12.2.4 Standardised Approach - CCR Exposures by Portfolio and Risk Weights,8.52,False,left,False
56,86.11,51.19,12.2.5 IRBA- CCR Exposures by Portfolio and PD Range,8.52,False,left,False
58,86.21,51.72,12.2.5.2 Foundation IRBA,8.52,False,left,False
60,90.2,51.39,12.2.5 Foundation IRBA(continued),8.52,False,left,False
60,137.32,51.75,12.2.6 RWAFlow Statements under the CCR Internal Models Method,8.52,False,left,False
60,182.2,51.37,12.2.7 Composition of Collateral for CCR Exposure,8.52,False,left,False
61,79.76,51.87,12.2.8 Exposuresto Central Counterparties,8.52,False,left,False
62,89.16,52.36,13 SECURITISATION,8.52,False,left,False
62,113.56,52.34,13.1 Qualitative Disclosures,8.52,False,left,False
63,89.96,51.77,13.2 Quantitative Disclosures,8.52,False,left,False
63,115.23,51.49,13.2.1 Securitisation ExposuresintheBanking Book,8.52,False,left,False
63,371.62,51.45,13.2.2 Securitisation ExposuresintheTrading Book,8.52,False,left,False
63,655.75,51.56,13.2.3 Securitisation ExposuresintheBanking Bookand associated RegulatoryCapital Requirements - AReporting BankactingasOriginator oras Sponsor,8.52,False,left,False
64,85.88,51.04,13.2.4 Securitisation Exposures in the Banking Book and associated Regulatory Capital Requirements - A Reporting Bank acting as an Investor,8.52,False,left,False
65,89.25,52.14,14 MARKET RISK,8.52,False,left,False
65,111.49,51.77,14.1 Qualitative Disclosures,8.52,False,left,False
66,89.98,51.66,14.2 Quantitative Disclosures,8.52,False,left,False
66,112.46,51.46,14.2.1 Market Risk under Standardised Approach,8.52,False,left,False
66,386.18,50.78,"14.2.2 RWA Flow Statements of Market Risk Exposures under IMA, IMA Values for Trading Portfolios and Comparison of VaR Estimateswith Gainsor Losses",8.52,False,left,False
67,89.2,52.24,15 OPERATIONAL RISK,8.52,False,left,False
67,489.31,51.3,Technologyrisk,8.52,False,left,False
67,540.62,51.16,Cybersecurityrisk,8.52,False,left,False
67,648.81,51.2,Compliancerisk,8.52,False,left,False
68,89.36,52.05,15 OPERATIONAL RISK(CONTINUED),8.52,False,left,False
68,255.53,51.04,"Newproduct, outsourcingand ecosystempartnership risks",8.52,False,left,False
68,308.05,51.34,Othermitigationprogrammes,8.52,False,left,False
69,89.22,51.96,16 INTEREST RATERISK IN THEBANKINGBOOK,8.52,False,left,False
70,89.91,52.15,17 REMUNERATION,8.52,False,left,False
70,90.12,81.57,REMUNERATION,8.52,False,center,False
70,174.62,374.84,Referencein 2022Annual Report,8.52,False,center,False
71,89.97,51.38,PART B: LIQUIDITY COVERAGERATIO (“LCR”) DISCLOSURES,8.52,False,left,False
74,90.25,51.53,1.3 LiquidityCoverageRatio,8.52,False,left,False
74,262.24,60.8,a) Composition ofHigh QualityLiquid Assets(“HQLA”),8.52,False,left,False
74,397.2,61.64,b) Concentration ofFunding Sources,8.52,False,center,False
74,488.81,60.79,c) DerivativeExposuresandPotential Collateral Calls,8.52,False,left,False
75,90.25,51.56,1.3 LiquidityCoverageRatio (continued),8.52,False,left,False
75,114.17,61.56,d) CurrencyMismatch,8.52,False,center,False
75,205.06,61.06,e) Centralization of LiquidityManagement,8.52,False,left,False
76,89.93,51.3,PART C: NET STABLE FUNDING RATIO(“NSFR”)DISCLOSURES,8.52,False,left,False
77,89.12,52.06,1.1 NSFRDisclosureTemplate,8.52,False,left,False
78,89.21,51.96,1.1 NSFRDisclosureTemplate(continued),8.52,False,left,False
79,89.08,51.98,1.1 NSFRDisclosureTemplate(continued),8.52,False,left,False
80,89.23,51.94,1.1 NSFRDisclosureTemplate(continued),8.52,False,left,False
81,90.24,51.57,PART D : ATTESTATION,8.52,False,left,False
