page,table_idx,x0,y0,x1,y1
5,0,50.32,136.29,552.65,516.01
6,0,50.52,136.26,550.35,567.57
7,0,50.33,111.91,550.41,378.95
8,0,51.13,234.72,550.69,718.4
9,0,51.37,94.56,551.03,692.12
10,0,50.89,95.56,550.99,681.94
11,0,50.71,90.98,550.78,356.93
12,0,50.99,148.54,550.67,715.0
13,0,51.31,112.44,551.03,727.54
14,0,51.35,112.21,550.95,719.89
15,0,51.41,112.28,550.8,720.47
16,0,51.29,112.05,550.9,718.94
17,0,51.42,112.25,550.96,702.7
18,0,51.5,112.74,420.22,716.36
19,0,49.82,168.29,550.81,550.86
20,0,50.17,157.28,549.11,335.4
22,0,50.03,135.07,549.85,353.2
22,1,50.06,377.65,549.88,605.42
23,0,49.63,168.84,549.31,345.6
24,0,49.82,187.08,549.3,374.78
25,0,49.97,167.63,550.96,670.24
26,0,50.55,113.4,549.93,269.93
29,0,49.4,134.55,549.97,593.36
35,0,49.94,145.39,549.36,420.48
36,0,50.34,146.63,549.19,241.19
36,1,50.37,366.53,549.61,472.58
36,2,49.83,497.62,549.69,652.92
37,0,49.89,124.54,549.25,205.58
37,1,50.05,273.35,549.63,418.55
37,2,50.05,454.59,549.22,596.21
38,0,50.29,125.54,549.11,295.35
38,1,50.19,311.31,549.45,475.74
38,2,50.38,522.38,548.96,595.37
39,0,50.69,132.75,549.72,254.12
39,1,50.28,288.0,549.35,410.84
40,0,50.6,133.66,549.35,386.91
40,1,50.62,404.31,549.15,649.06
41,0,50.27,146.79,549.86,398.45
41,1,50.47,421.35,550.19,672.65
42,0,49.9,155.0,550.31,708.73
43,0,49.68,111.9,550.13,673.63
44,0,49.61,113.07,549.82,692.69
45,0,49.74,112.02,549.78,692.0
46,0,50.81,242.57,549.28,384.81
47,0,50.1,169.74,549.49,364.47
47,1,50.3,397.08,549.58,579.89
48,0,50.4,169.81,550.5,505.46
49,0,50.48,125.87,550.55,460.42
50,0,50.06,158.03,549.71,631.67
51,0,50.27,125.53,550.59,597.98
53,0,50.27,168.19,550.38,320.7
53,1,50.39,345.01,550.24,495.43
54,0,50.29,146.97,550.56,349.31
54,1,50.06,437.04,550.99,747.85
55,0,50.51,209.81,550.25,370.09
55,1,50.1,392.28,550.63,551.92
56,0,50.39,146.29,550.38,461.47
57,0,50.5,114.01,550.66,430.35
58,0,49.93,114.25,551.14,676.32
59,0,49.76,108.98,551.0,671.71
60,0,50.32,239.31,550.2,408.57
60,1,50.37,432.7,550.54,607.64
61,0,50.7,125.05,549.78,389.13
61,1,51.13,402.71,550.01,661.87
63,0,50.47,168.69,550.28,334.46
63,1,50.37,427.81,550.21,593.55
64,0,50.2,144.18,550.25,659.46
66,0,50.3,155.81,550.11,320.66
72,0,50.39,125.69,549.04,513.68
73,0,50.39,125.28,549.76,513.7
77,0,50.26,124.71,551.72,642.51
78,0,50.39,123.68,551.85,425.64
79,0,50.45,123.49,551.73,642.34
80,0,50.3,123.37,551.8,424.79
82,0,49.49,113.1,548.82,708.56
83,0,49.89,113.16,549.77,730.2
84,0,49.85,112.69,549.23,730.74
85,0,50.21,112.86,549.17,587.33
