page,table_idx,x0,y0,x1,y1
5,0,53.27,61.59,558.23,654.14
6,0,53.04,77.65,556.22,618.27
8,0,57.21,90.93,571.86,353.56
8,1,55.45,461.68,561.27,707.36
9,0,59.66,91.9,558.44,228.32
9,1,57.88,386.16,558.13,501.99
10,0,56.78,91.66,557.02,262.1
10,1,56.8,398.73,558.05,621.38
11,0,59.96,90.61,558.2,489.88
12,0,58.28,74.1,557.75,468.07
14,0,52.96,89.49,551.33,535.56
15,0,52.36,71.96,555.23,422.38
17,0,55.17,91.0,557.59,597.42
18,0,53.23,100.16,550.84,580.66
19,0,52.9,82.9,551.37,316.45
19,1,52.5,338.94,550.26,519.46
19,2,54.49,540.43,550.12,688.45
20,0,53.17,82.2,550.15,197.77
21,0,58.61,88.31,552.3,513.16
21,1,57.13,589.05,551.28,742.53
22,0,49.27,100.69,561.23,449.57
23,0,47.88,102.72,557.56,438.12
24,0,47.98,103.03,560.63,543.39
25,0,55.82,87.5,554.98,622.04
26,0,54.02,101.37,577.24,484.54
27,0,54.47,109.81,545.76,421.04
28,0,53.65,80.62,553.81,725.48
29,0,66.83,189.78,570.32,459.64
29,1,66.76,553.66,546.36,628.11
30,0,42.02,136.31,544.0,316.74
