page,table_idx,x0,y0,x1,y1
1,0,67.46,432.87,537.56,669.21
2,0,69.24,105.12,542.62,351.76
3,0,68.56,422.81,545.24,668.24
5,0,71.61,103.68,544.5,344.68
6,0,69.68,107.52,541.37,293.26
7,0,69.82,116.61,541.03,166.6
9,0,69.77,118.89,546.68,574.65
10,0,69.17,108.78,544.3,497.34
11,0,69.14,157.18,541.64,358.09
11,1,68.92,436.89,536.12,682.28
12,0,69.42,130.58,550.35,533.28
13,0,69.48,131.25,550.07,308.53
13,1,69.65,365.29,550.05,551.62
14,0,69.17,131.73,547.82,596.41
15,0,69.66,132.1,540.33,585.08
16,0,69.37,132.12,531.55,584.76
17,0,69.41,125.71,547.44,408.04
18,0,69.3,237.85,546.84,442.42
19,0,69.78,191.27,541.4,295.96
