pageA,idxA,pageB,idxB,cross_page,verdict,detail
1,0,2,0,1,NEW_TABLE,break:text-between:First Half 2025 Performance
2,0,3,0,1,NEW_TABLE,cols differ
3,0,5,0,1,NEW_TABLE,non-adjacent pages
5,0,6,0,1,NEW_TABLE,cols differ
6,0,7,0,1,NEW_TABLE,cols differ
7,0,9,0,1,NEW_TABLE,non-adjacent pages
9,0,10,0,1,NEW_TABLE,cols differ
10,0,11,0,1,NEW_TABLE,cols differ
11,0,11,1,0,NEW_TABLE,cols differ
11,1,12,0,1,NEW_TABLE,cols differ
12,0,13,0,1,NEW_TABLE,break:text-between:OPERATING EXPENSES
13,0,13,1,0,NEW_TABLE,break:text-between:ALLOWANCES FOR LOANS AND OTHER ASSETS
13,1,14,0,1,NEW_TABLE,cols differ
14,0,15,0,1,NEW_TABLE,cols differ
15,0,16,0,1,NEW_TABLE,cols differ
16,0,17,0,1,NEW_TABLE,cols differ
17,0,18,0,1,NEW_TABLE,break:heading:FINANCIAL HIGHLIGHTS (continued)
18,0,19,0,1,NEW_TABLE,cols differ
