page,table_idx,x0,y0,x1,y1
1,0,70.26,354.35,528.36,469.72
5,0,36.42,66.74,567.34,682.33
6,0,36.64,83.82,564.25,223.51
7,0,51.37,71.1,547.87,675.53
8,0,49.3,70.9,525.07,211.36
10,0,46.51,92.96,551.82,714.14
11,0,46.14,73.48,543.4,319.65
11,1,47.14,342.24,458.65,581.24
12,0,47.29,92.43,546.91,249.98
12,1,46.65,432.41,547.59,620.17
13,0,46.37,92.27,544.82,267.81
13,1,47.16,386.49,545.81,628.46
14,0,45.35,91.03,553.09,764.28
15,0,46.26,70.52,549.25,484.22
18,0,48.15,93.14,545.97,676.95
19,0,47.36,66.33,549.58,732.5
22,0,45.9,91.65,543.81,600.93
23,0,45.48,102.01,545.94,710.46
24,0,45.94,69.37,548.61,644.0
25,0,47.64,70.6,541.3,187.74
26,0,46.11,88.8,546.84,553.95
27,0,44.9,89.04,546.66,237.37
28,0,46.24,92.34,545.94,472.65
29,0,42.63,94.45,547.95,460.88
30,0,46.42,94.18,547.5,616.61
31,0,42.04,94.79,546.14,631.72
32,0,44.47,111.72,556.52,561.13
33,0,44.41,111.68,556.7,561.2
34,0,46.07,110.25,547.87,485.65
35,0,46.35,109.7,547.96,449.44
36,0,46.36,97.35,546.58,728.2
37,0,50.08,192.47,546.12,475.35
37,1,50.6,606.4,546.23,677.94
38,0,61.08,136.39,540.1,375.63
41,0,56.57,278.62,523.93,405.61
43,0,61.04,107.77,523.1,718.69
44,0,60.98,107.9,524.37,618.52
