page,table_idx,x0,y0,x1,y1
5,0,46.84,82.21,544.3,679.05
6,0,47.03,81.39,542.86,182.0
7,0,51.0,81.73,549.17,671.59
8,0,49.24,81.25,545.74,182.07
10,0,45.55,93.67,550.8,475.23
11,0,47.46,85.38,543.07,323.17
12,0,47.57,93.99,539.69,251.08
12,1,47.07,426.38,539.89,586.9
13,0,46.13,90.4,539.12,265.17
13,1,47.13,403.3,546.68,631.94
14,0,44.92,94.24,553.46,523.0
15,0,44.58,83.35,542.12,496.85
17,0,47.78,94.55,546.11,684.81
18,0,50.28,104.85,551.13,453.94
20,0,45.82,91.32,545.87,622.04
21,0,46.92,102.12,547.2,708.36
22,0,45.97,69.87,547.45,677.46
23,0,45.59,71.5,546.34,187.41
24,0,46.46,91.79,547.21,581.69
25,0,44.75,92.97,547.22,245.71
26,0,45.86,94.18,546.98,482.01
27,0,45.32,99.03,543.33,462.18
28,0,46.09,94.3,544.72,587.78
29,0,41.96,94.66,551.21,641.02
30,0,44.1,111.72,556.05,539.54
31,0,46.23,109.62,547.99,472.58
32,0,46.18,95.87,546.58,702.46
33,0,49.79,190.83,546.43,460.98
33,1,46.83,574.0,550.83,645.14
34,0,60.16,136.06,546.63,359.99
