page,table_idx,x0,y0,x1,y1
1,0,69.31,515.15,537.75,750.01
3,0,68.79,101.47,543.04,354.01
4,0,71.52,101.02,543.61,326.3
5,0,69.28,102.73,541.32,249.5
5,1,69.57,504.86,540.33,593.64
7,0,69.62,104.27,556.02,560.8
8,0,69.98,104.04,544.06,511.37
9,0,69.63,102.56,557.99,533.44
10,0,68.91,152.59,546.04,355.56
10,1,69.39,447.65,549.7,677.84
11,0,69.02,124.78,546.07,517.77
12,0,69.64,126.27,545.59,318.3
12,1,69.29,374.7,546.14,557.02
13,0,69.39,125.98,545.24,610.4
14,0,69.68,125.92,544.37,548.52
15,0,69.23,127.99,541.84,574.78
16,0,69.47,119.19,544.75,415.74
16,1,69.41,479.99,543.97,682.82
17,0,69.33,186.29,541.31,290.99
