page,y0,x0,text,font_size,bold,alignment,is_dateish
1,102.73,70.14,To: Shareholders,11.04,False,left,False
1,171.61,69.44,TradingUpdatefortheFirstQuarter Ended31March2025,11.04,True,left,False
1,228.52,69.6,Dividends,11.04,True,left,False
1,538.59,69.62,By order ofthe Board,11.04,False,left,False
2,90.54,69.53,First-quarterprofitbeforetaxatrecord SGD3.44 billionastotalincome grows6%tonew highof SGD5.91 billion; netprofit at SGD2.90billionwith ROE at 17.3%,11.04,True,left,False
2,606.84,70.49,Quarter-on-quarter performance,11.04,True,left,False
4,90.93,70.03,Year-on-year performance,11.04,True,left,False
4,478.55,70.23,Balancesheet,11.04,True,left,False
