page,y0,x0,text,font_size,bold,alignment,is_dateish
1,350.53,269.24,Pillar3andLiquidityDisclosures,16.0,True,left,False
1,390.09,423.64,30June2022,16.0,False,right,True
4,93.66,54.03,PART A: PILLAR3DISCLOSURES,8.97,True,left,False
4,118.02,54.29,1 INTRODUCTION,8.97,True,left,False
4,345.86,53.05,2 SCOPEOFCONSOLIDATION,8.97,True,left,False
5,93.96,52.97,3 OVERVIEW OFKEY PRUDENTIALREGULATORY METRICS,8.97,True,left,False
6,93.17,53.69,4 COMPOSITION OF CAPITAL,8.97,True,left,False
6,119.75,55.73,4.1FinancialStatementsandRegulatoryScopeofConsolidation,9.0,True,left,False
7,95.75,55.73,4.1FinancialStatementsandRegulatoryScopeofConsolidation(continued),9.0,True,left,False
8,93.58,53.34,4.2 Capital AdequacyandReconciliationof RegulatoryCapital totheBalanceSheet,8.97,True,left,False
12,94.22,53.16,4.3 Main Features of Capital Instruments,8.97,True,left,False
12,860.31,578.25,A-9,9.5,False,right,False
13,93.91,53.5,4.3 Main Features of Capital Instruments (continued),8.97,True,left,False
13,860.31,572.95,A-10,9.5,False,right,False
14,93.91,53.58,4.3 Main Features of Capital Instruments (continued),8.97,True,left,False
14,860.31,572.95,A-11,9.5,False,right,False
15,93.9,53.52,4.3 Main Features of Capital Instruments (continued),8.97,True,left,False
15,860.31,572.95,A-12,9.5,False,right,False
16,93.95,53.5,4.3 Main Features of Capital Instruments (continued),8.97,True,left,False
16,860.31,572.95,A-13,9.5,False,right,False
17,94.0,53.52,4.3 Main Features of Capital Instruments (continued),8.97,True,left,False
17,860.31,572.95,A-14,9.5,False,right,False
18,93.99,53.67,4.3 Main Features of Capital Instruments (continued),8.97,True,left,False
18,860.31,572.95,A-15,9.5,False,right,False
19,93.33,52.93,5 GEOGRAPHICALDISTRIBUTIONOFCREDIT EXPOSURESUSEDINTHECOUNTERCYCLICALCAPITALBUFFER,8.97,True,left,False
20,93.43,53.63,6 LEVERAGERATIO,8.97,True,left,False
22,93.04,53.49,7 OVERVIEW OFRISK-WEIGHTEDASSETS,8.97,True,left,False
23,94.46,53.58,8 CREDIT RISK,8.97,True,left,False
23,113.26,53.25,8.1 Credit Qualityof Assets,8.97,True,left,False
23,535.97,53.17,8.2 Changes in Stock of Defaulted Loans(1) and Debt Securities,8.97,True,left,False
24,94.74,53.34,8.3 Overview of CRMTechniques,8.97,True,left,False
25,94.66,53.39,8.4 SA(CR) and SA(EQ) – Credit Risk Exposure and CRM Effects,8.97,True,left,False
