institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,4,ASF Item,Retail deposits and deposits from small business customers:,,,,2,Unweighted value by residual maturity,≥ 1yr,2,707.0,707,reported,0,1,asf_retail,,5,4,ocbc_4q24_p3,nsfr_dec24,5,4,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,4,ASF Item,Retail deposits and deposits from small business customers:,,,,2,Weighted value,,1,185318.0,"185,318",reported,0,1,asf_retail,,5,5,ocbc_4q24_p3,nsfr_dec24,5,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,No Maturity,2,53372.0,"53,372",reported,0,1,asf_retail_stable,,6,1,ocbc_4q24_p3,nsfr_dec24,6,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,< 6 months,2,8925.0,"8,925",reported,0,1,asf_retail_stable,,6,2,ocbc_4q24_p3,nsfr_dec24,6,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,30.0,30,reported,0,1,asf_retail_stable,,6,3,ocbc_4q24_p3,nsfr_dec24,6,3,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_retail_stable,,6,4,ocbc_4q24_p3,nsfr_dec24,6,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Weighted value,,1,59211.0,"59,211",reported,0,1,asf_retail_stable,,6,5,ocbc_4q24_p3,nsfr_dec24,6,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,No Maturity,2,65669.0,"65,669",reported,0,1,asf_retail_less,,7,1,ocbc_4q24_p3,nsfr_dec24,7,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,< 6 months,2,69490.0,"69,490",reported,0,1,asf_retail_less,,7,2,ocbc_4q24_p3,nsfr_dec24,7,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,4176.0,"4,176",reported,0,1,asf_retail_less,,7,3,ocbc_4q24_p3,nsfr_dec24,7,3,2
