institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,4,ASF Item,Retail deposits and deposits from small business customers:,,,,2,Weighted value,,1,264210.0,"264,210",reported,0,1,asf_retail,,5,5,dbs_4q23_p3,nsfr_dec23,5,5,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,No Maturity,2,72506.0,"72,506",reported,0,1,asf_retail_stable,,6,1,dbs_4q23_p3,nsfr_dec23,6,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,< 6 months,2,6288.0,"6,288",reported,0,1,asf_retail_stable,,6,2,dbs_4q23_p3,nsfr_dec23,6,2,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,94.0,94,reported,0,1,asf_retail_stable,,6,3,dbs_4q23_p3,nsfr_dec23,6,3,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Unweighted value by residual maturity,≥ 1yr,2,13.0,13,reported,0,1,asf_retail_stable,,6,4,dbs_4q23_p3,nsfr_dec23,6,4,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,5,ASF Item,Retail deposits and deposits from small business customers:,Stable deposits,,,3,Weighted value,,1,74956.0,"74,956",reported,0,1,asf_retail_stable,,6,5,dbs_4q23_p3,nsfr_dec23,6,5,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,No Maturity,2,110139.0,"110,139",reported,0,1,asf_retail_less,,7,1,dbs_4q23_p3,nsfr_dec23,7,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,< 6 months,2,94089.0,"94,089",reported,0,1,asf_retail_less,,7,2,dbs_4q23_p3,nsfr_dec23,7,2,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,5845.0,"5,845",reported,0,1,asf_retail_less,,7,3,dbs_4q23_p3,nsfr_dec23,7,3,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Unweighted value by residual maturity,≥ 1yr,2,188.0,188,reported,0,1,asf_retail_less,,7,4,dbs_4q23_p3,nsfr_dec23,7,4,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,6,ASF Item,Retail deposits and deposits from small business customers:,Less stable deposits,,,3,Weighted value,,1,189254.0,"189,254",reported,0,1,asf_retail_less,,7,5,dbs_4q23_p3,nsfr_dec23,7,5,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,No Maturity,2,111005.0,"111,005",reported,0,1,asf_wholesale,,8,1,dbs_4q23_p3,nsfr_dec23,8,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,< 6 months,2,191421.0,"191,421",reported,0,1,asf_wholesale,,8,2,dbs_4q23_p3,nsfr_dec23,8,2,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,12471.0,"12,471",reported,0,1,asf_wholesale,,8,3,dbs_4q23_p3,nsfr_dec23,8,3,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,7,ASF Item,Wholesale funding:,,,,2,Unweighted value by residual maturity,≥ 1yr,2,25866.0,"25,866",reported,0,1,asf_wholesale,,8,4,dbs_4q23_p3,nsfr_dec23,8,4,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,7,ASF Item,Wholesale funding:,,,,2,Weighted value,,1,116757.0,"116,757",reported,0,1,asf_wholesale,,8,5,dbs_4q23_p3,nsfr_dec23,8,5,1
