page,table_idx,x0,y0,x1,y1
1,0,410.96,358.96,511.0,475.96
5,0,42.34,70.51,565.43,674.35
6,0,40.13,61.98,558.97,666.41
8,0,55.91,91.02,563.39,246.78
8,1,56.35,266.88,571.55,502.75
8,2,56.21,523.57,562.5,717.25
9,0,55.84,77.12,562.53,338.45
9,1,56.16,361.68,474.15,610.84
10,0,58.31,92.06,557.81,251.29
10,1,57.76,440.32,558.05,599.23
11,0,55.37,91.48,557.93,226.19
11,1,56.9,413.01,558.07,636.67
12,0,52.78,95.41,559.88,714.42
13,0,58.42,82.23,559.03,632.01
16,0,57.29,82.86,558.38,609.43
17,0,53.68,57.04,557.83,742.67
20,0,55.68,101.21,532.27,554.85
21,0,58.1,99.83,547.84,571.73
22,0,39.57,70.7,545.64,660.15
23,0,38.68,82.23,544.28,196.12
24,0,58.67,90.35,538.18,463.03
24,1,56.98,545.34,536.41,697.19
25,0,49.98,112.01,565.43,466.88
26,0,48.04,102.65,557.78,470.54
27,0,48.14,102.94,551.06,604.65
28,0,56.38,96.7,543.25,634.41
29,0,54.06,111.3,585.93,541.69
30,0,54.23,111.31,568.3,537.44
31,0,54.48,111.32,553.52,458.81
32,0,54.45,110.82,552.39,417.79
33,0,53.94,88.73,561.72,707.5
34,0,66.09,188.69,570.34,458.61
34,1,63.52,564.49,555.31,637.01
35,0,62.05,136.03,540.93,299.78
38,0,98.61,347.96,523.32,475.71
39,0,103.94,261.45,544.4,747.37
40,0,103.21,165.35,545.53,761.82
41,0,102.77,165.08,546.03,563.11
42,0,103.23,165.36,544.23,518.72
