check,detail
flow_as_at,DBS_4Q25_performance_summary/unaudited_statement_of_changes_in_equity_unaudited_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2025_the_company_2025-12-31 row8: 'Net profit' stamped pnl.profit.net_attributable (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,DBS_4Q25_performance_summary/unaudited_statement_of_changes_in_equity_unaudited_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2025_the_company_2025-12-31 row8: 'Net profit' stamped pnl.profit.net_attributable (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,DBS_4Q25_performance_summary/unaudited_statement_of_changes_in_equity_unaudited_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2024_the_company_2024-12-31 row5: 'Net profit' stamped pnl.profit.net_attributable (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,DBS_4Q25_performance_summary/unaudited_statement_of_changes_in_equity_unaudited_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2024_the_company_2024-12-31 row5: 'Net profit' stamped pnl.profit.net_attributable (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,OCBC_1H25_Media_Release_Financial_Highlights/loans_to_customers_loans_to_customers_2025-06-30 row3: 'Impaired loans' stamped pnl.provisions.stage3_sp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,OCBC_1H25_Media_Release_Financial_Highlights/loans_to_customers_loans_to_customers_2025-06-30 row3: 'Impaired loans' stamped pnl.provisions.stage3_sp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,OCBC_1H25_Media_Release_Financial_Highlights/loans_to_customers_loans_to_customers_2025-06-30 row3: 'Impaired loans' stamped pnl.provisions.stage3_sp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,OCBC_1H25_Media_Release_Financial_Highlights/loans_to_customers_loans_to_customers_2025-06-30 row4: 'Non-impaired loans' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,OCBC_1H25_Media_Release_Financial_Highlights/loans_to_customers_loans_to_customers_2025-06-30 row4: 'Non-impaired loans' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
flow_as_at,OCBC_1H25_Media_Release_Financial_Highlights/loans_to_customers_loans_to_customers_2025-06-30 row4: 'Non-impaired loans' stamped pnl.provisions.stage12_gp (nature=flow) but carries period_span='as_at' -- likely also matches a balance-sheet/disclosure row with a similar label
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2024-06-30: as_at=551088 vs 1H=6374 (ratio=0.012, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"DBS Group Holdings Ltd bs.liabilities.customer_deposits 2024-06-30: as_at=551088 vs 1H=2.35 (ratio=4.3e-06, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 2H=152 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs FY=403 (ratio=0.32, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 4Q=155 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 4Q=-155 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 4Q=-155 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 4Q=-155 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 4Q=-155 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 4Q=-155 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-12-31: as_at=-1278 vs 4Q=-155 (ratio=0.12, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-12-31: as_at=-2851 vs 2H=-31 (ratio=0.011, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-12-31: as_at=-2851 vs FY=124 (ratio=0.043, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2025-12-31: as_at=572061 vs NULL=6 (ratio=1e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2025-12-31: as_at=572061 vs NULL=6 (ratio=1e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2025-12-31: as_at=572061 vs NULL=6 (ratio=1e-05, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2025-12-31: as_at=6130 vs FY=57445 (ratio=9.4, seg=SEG_OTHER, geo=OTH)"
as_at_magnitude,"United Overseas Bank Ltd bs.assets.total 2025-12-31: as_at=6130 vs 2H=57445 (ratio=9.4, seg=SEG_OTHER, geo=OTH)"
