institution,concept_key,concept_name,period,period_span,segment_key,geo_key,industry_key,legal_entity,n_candidates,competing_values,competing_sources,chosen_value
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2022-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,10149 | 632904 | 516889,"10149@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022 || 632904@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 516889@tier2:net_interest_income",632904.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2022-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,15927 | 624826 | 507374,"15927@tier0:average_balance_sheet_year_2022_year_2021 || 624826@tier0:average_balance_sheet_year_2022_year_2021,net_interest_income || 507374@tier2:net_interest_income",624826.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2021-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,10185 | 582621 | 469773,"10185@tier0:average_balance_sheet_year_2022_year_2021 || 582621@tier0:average_balance_sheet_year_2022_year_2021,net_interest_income || 469773@tier2:net_interest_income",582621.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2025-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,13727 | 733326 | 599078,"13727@tier0:average_balance_sheet_2nd_half_2025_2nd_half_2024_1st_half_2025 || 733326@tier0:average_balance_sheet_2nd_half_2025_2nd_half_2024_1st_half_2025,net_interest_income || 599078@tier2:net_interest_income",733326.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2025-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,28268 | 721393 | 583324,"28268@tier0:average_balance_sheet_year_2025_year_2024 || 721393@tier0:average_balance_sheet_year_2025_year_2024,net_interest_income || 583324@tier2:net_interest_income",721393.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2024-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,30927 | 676148 | 537823,"30927@tier0:average_balance_sheet_year_2025_year_2024 || 676148@tier0:average_balance_sheet_year_2025_year_2024,net_interest_income || 537823@tier2:net_interest_income",676148.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2022-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,2299 | 4759,2299@tier9:non_performing_assets_and_loss_allowance_coverage || 4759@tier9:non_performing_assets_and_loss_allowance_coverage,2299.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2025-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,2324 | 4629,2324@tier9:non_performing_assets_and_loss_allowance_coverage || 4629@tier9:non_performing_assets_and_loss_allowance_coverage,2324.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,3838 | 4109,"3838@tier9:customer_loans || 4109@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",4109.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,3697 | 3969,"3697@tier9:customer_loans || 3969@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",3969.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,2216 | 2332,"2216@tier9:customer_loans || 2332@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",2332.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,2393 | 2545,"2393@tier9:customer_loans || 2545@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",2545.0
DBS Group Holdings Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,760 | 514997,"760@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 514997@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income",760.0
DBS Group Holdings Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,571 | 488284,"571@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 488284@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income",571.0
DBS Group Holdings Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2024-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,5549 | 5649,5549@tier0:selected_income_statement_items_m || 5649@tier0:selected_income_statement_items_m,5549.0
DBS Group Holdings Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,8675 | 8767 | 8786,8675@tier0:selected_income_statement_items_m || 8767@tier0:selected_income_statement_items_m || 8786@tier0:selected_income_statement_items_m,8675.0
DBS Group Holdings Ltd,reg.capital.rwa,Risk-weighted assets,2022-09-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,36145 | 232650 | 240903 | 361452,36145@tier9:overview_of_risk_weighted_assets || 232650@tier9:irba_rwa_flow_statement_for_credit_risk_exposures || 240903@tier9:irba_rwa_flow_statement_for_credit_risk_exposures || 361452@tier9:overview_of_risk_weighted_assets,36145.0
Oversea-Chinese Banking Corporation Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2025-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,13745 | 317877 | 336692,"13745@tier0:average_balance_sheet,net_interest_income || 317877@tier0:average_balance_sheet || 336692@tier1:financial_highlights",13745.0
Oversea-Chinese Banking Corporation Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2024-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,15628 | 297788 | 315096,"15628@tier0:average_balance_sheet,net_interest_income || 297788@tier0:average_balance_sheet || 315096@tier1:financial_highlights",15628.0
Oversea-Chinese Banking Corporation Ltd,bs.assets.npa,Non-performing assets / loans,2025-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,3229 | 3243,3229@tier9:non_performing_assets_continued_npls_by_industry || 3243@tier9:non_performing_assets_continued_npls_by_industry,3229.0
Oversea-Chinese Banking Corporation Ltd,bs.equity.shareholders,Shareholders' equity,2025-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,58073 | 59773 | 60449,"58073@tier1:financial_highlights,financial_highlights_continued || 59773@tier1:financial_highlights_continued || 60449@tier1:financial_highlights",58073.0
Oversea-Chinese Banking Corporation Ltd,bs.equity.shareholders,Shareholders' equity,2025-09-30,3Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,58263 | 59963,"58263@tier1:financial_highlights,financial_highlights_unaudited || 59963@tier1:financial_highlights,financial_highlights_unaudited",58263.0
Oversea-Chinese Banking Corporation Ltd,bs.equity.shareholders,Shareholders' equity,2024-03-31,1Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,55170 | 56870,55170@tier1:financial_highlights_unaudited || 56870@tier1:financial_highlights_unaudited,55170.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2025-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,4882 | 398070 | 406943,"4882@tier0:average_balance_sheet || 398070@tier0:average_balance_sheet || 406943@tier1:financial_highlights,financial_highlights_continued",4882.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2025-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,-9226 | 406290 | 428286,"-9226@tier0:average_balance_sheet,net_interest_income || 406290@tier0:average_balance_sheet || 428286@tier1:financial_highlights",9226.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2024-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,-10552 | 370965 | 390687,"-10552@tier0:average_balance_sheet,net_interest_income || 370965@tier0:average_balance_sheet || 390687@tier1:financial_highlights",10552.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.deposits_casa,CASA deposits,2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,203 | 100708 | 101918,203@tier9:strong_funding_liquidity_and_capital_position || 100708@tier9:deposits || 101918@tier9:deposits,203.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.deposits_casa,CASA deposits,2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,191 | 81150 | 109603,191@tier9:strong_funding_liquidity_and_capital_position || 81150@tier9:deposits || 109603@tier9:deposits,191.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2025-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,3699 | 3710,"3699@tier1:financial_highlights,financial_highlights_continued,first_half_2025_performance || 3710@tier1:financial_highlights",3699.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2024-06-30,2Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,1944 | 1966,"1944@tier1:financial_highlights,second_quarter_2025_performance || 1966@tier1:financial_highlights",1944.0
Oversea-Chinese Banking Corporation Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-09-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,4,15 | 16.9,15@tier9:strong_funding_liquidity_and_capital_position || 16.9@tier9:strong_funding_liquidity_and_capital_position,15.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2025-06-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,4686 | 5036 | 5077,4686@tier9:by_collateral_type || 5036@tier9:by_collateral_type || 5077@tier9:by_collateral_type,4686.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2021-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,3662 | 4045,"3662@tier9:customer_loans || 4045@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",4045.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2021-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,2835 | 3156,"2835@tier9:customer_loans || 3156@tier9:loss_allowance_coverage,non_performing_assets_and_loss_allowance_coverage",3156.0
DBS Group Holdings Ltd,pnl.income.total,Total income,2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,702 | 7539,"702@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022 || 7539@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022,performance_by_geography_selected_income_statement_items",7539.0
DBS Group Holdings Ltd,pnl.income.total,Total income,2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,575 | 6854,"575@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021 || 6854@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021,performance_by_geography_selected_income_statement_items",6854.0
DBS Group Holdings Ltd,pnl.income.total,Total income,2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,934 | 7443,"934@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021 || 7443@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021,performance_by_geography_selected_income_statement_items",7443.0
DBS Group Holdings Ltd,pnl.nii.net,Net interest income,2025-09-30,3Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,20 | 3558 | 3578,20@tier0:selected_income_statement_items_m || 3558@tier0:selected_income_statement_items_m || 3578@tier0:selected_income_statement_items_m,20.0
DBS Group Holdings Ltd,pnl.nii.net,Net interest income,2024-09-30,3Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,-199 | 3597 | 3796,-199@tier0:selected_income_statement_items_m || 3597@tier0:selected_income_statement_items_m || 3796@tier0:selected_income_statement_items_m,-199.0
DBS Group Holdings Ltd,pnl.nii.net,Net interest income,2025-06-30,2Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,23 | 3625 | 3648,23@tier0:selected_income_statement_items_m || 3625@tier0:selected_income_statement_items_m || 3648@tier0:selected_income_statement_items_m,23.0
DBS Group Holdings Ltd,pnl.opex.total,Operating expenses,2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,303 | 3302,"303@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022 || 3302@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022,performance_by_geography_selected_income_statement_items",3302.0
DBS Group Holdings Ltd,pnl.opex.total,Operating expenses,2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,322 | 3130,"322@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021 || 3130@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021,performance_by_geography_selected_income_statement_items",3130.0
DBS Group Holdings Ltd,pnl.opex.total,Operating expenses,2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,325 | 3339,"325@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021 || 3339@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021,performance_by_geography_selected_income_statement_items",3339.0
DBS Group Holdings Ltd,pnl.profit.pretax,Profit before tax,2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,404 | 4136,"404@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022 || 4136@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022,performance_by_geography_selected_income_statement_items",4136.0
DBS Group Holdings Ltd,pnl.profit.pretax,Profit before tax,2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,260 | 3552,"260@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021 || 3552@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021,performance_by_geography_selected_income_statement_items",3552.0
DBS Group Holdings Ltd,pnl.profit.pretax,Profit before tax,2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,607 | 4224,"607@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021 || 4224@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021,performance_by_geography_selected_income_statement_items",4224.0
DBS Group Holdings Ltd,pnl.provisions.total,Total allowances / provisions,2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,-5 | 101,"-5@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022 || 101@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2022,performance_by_geography_selected_income_statement_items",101.0
DBS Group Holdings Ltd,pnl.provisions.total,Total allowances / provisions,2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,5 | 89,"5@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021 || 89@tier0:performance_by_business_segments1_selected_income_statement_items2_1st_half_2021,performance_by_geography_selected_income_statement_items",89.0
DBS Group Holdings Ltd,pnl.provisions.total,Total allowances / provisions,2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,-10 | -37,"-10@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021 || -37@tier0:performance_by_business_segments1_selected_income_statement_items2_2nd_half_2021,performance_by_geography_selected_income_statement_items",37.0
DBS Group Holdings Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-03-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,9.2 | 15.2 | 17.4,9.2@tier9:capital_adequacy || 15.2@tier9:capital_adequacy || 17.4@tier9:capital_adequacy,9.2
DBS Group Holdings Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,9.2 | 15 | 17,9.2@tier9:capital_adequacy || 15@tier9:capital_adequacy || 17@tier9:capital_adequacy,9.2
DBS Group Holdings Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-09-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,9.2 | 15.1 | 16.9,9.2@tier9:capital_adequacy || 15.1@tier9:capital_adequacy || 16.9@tier9:capital_adequacy,9.2
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2024-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,5314 | 367384 | 369835,5314@tier0:average_balance_sheet || 367384@tier0:average_balance_sheet || 369835@tier1:financial_highlights,5314.0
Oversea-Chinese Banking Corporation Ltd,bs.liabilities.deposits_casa,CASA deposits,2024-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,177 | 75931 | 101043,177@tier9:strong_funding_liquidity_and_capital_position || 75931@tier9:deposits || 101043@tier9:deposits,177.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2024-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,3926 | 3973,"3926@tier1:financial_highlights,first_half_2025_performance || 3973@tier1:financial_highlights",3926.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2025-09-30,9M,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,5677 | 5693,"5677@tier1:financial_highlights_unaudited,nine_months_2025_performance || 5693@tier1:financial_highlights_unaudited",5677.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2024-09-30,9M,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,5900 | 5954,"5900@tier1:financial_highlights_unaudited,nine_months_2025_performance || 5954@tier1:financial_highlights_unaudited",5900.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2024-09-30,3Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,1974 | 1981,"1974@tier1:financial_highlights_unaudited,third_quarter_2025_performance || 1981@tier1:financial_highlights_unaudited",1974.0
Oversea-Chinese Banking Corporation Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,15.3 | 17,"15.3@tier9:strong_funding_liquidity_and_capital_position || 17@tier9:capital_adequacy_ratios_1,strong_funding_liquidity_and_capital_position",17.0
Oversea-Chinese Banking Corporation Ltd,reg.capital.cet1_ratio,CET1 ratio,2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,15.3 | 17.1,"15.3@tier9:strong_funding_liquidity_and_capital_position || 17.1@tier9:capital_adequacy_ratios_1,strong_funding_liquidity_and_capital_position",17.1
Oversea-Chinese Banking Corporation Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-09-30,3Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,15 | 16.9,"15@tier1:3q25_performance_highlights || 16.9@tier1:3q25_performance_highlights,financial_highlights_unaudited",16.9
Oversea-Chinese Banking Corporation Ltd,reg.liquidity.lcr_ratio,Liquidity Coverage Ratio,2025-03-31,1Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,3,132 | 274,"132@tier1:financial_highlights_continued,financial_highlights_unaudited || 274@tier1:financial_highlights_unaudited",132.0
DBS Group Holdings Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,3427 | 341273,3427@tier2:net_interest_income || 341273@tier2:net_interest_income,3427.0
DBS Group Holdings Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,418068 | 437027,418068@tier0:selected_balance_sheet_items_m || 437027@tier0:selected_balance_sheet_items_m,418068.0
DBS Group Holdings Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2022-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,6369 | 376695,6369@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022 || 376695@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,6369.0
DBS Group Holdings Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2022-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,10268 | 372964,10268@tier0:average_balance_sheet_year_2022_year_2021 || 372964@tier0:average_balance_sheet_year_2022_year_2021,10268.0
DBS Group Holdings Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2021-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,6947 | 349712,6947@tier0:average_balance_sheet_year_2022_year_2021 || 349712@tier0:average_balance_sheet_year_2022_year_2021,6947.0
DBS Group Holdings Ltd,bs.assets.npa,Non-performing assets / loans,2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,4627 | 4680,4627@tier0:selected_balance_sheet_items_m || 4680@tier0:selected_balance_sheet_items_m,4627.0
DBS Group Holdings Ltd,bs.assets.total,Total assets,2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,789609 | 881622,789609@tier0:selected_balance_sheet_items_m || 881622@tier0:selected_balance_sheet_items_m,789609.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2024-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,3720 | 3981,3720@tier9:customer_loans || 3981@tier9:loss_allowance_coverage,3981.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2022-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,3466 | 3736,3466@tier9:customer_loans || 3736@tier9:non_performing_assets_and_loss_allowance_coverage,3466.0
DBS Group Holdings Ltd,bs.credit.allowances_stage12_gp,General allowances balance (ECL stage 1 & 2),2025-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,3581 | 3859,3581@tier9:customer_loans || 3859@tier9:non_performing_assets_and_loss_allowance_coverage,3581.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2024-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,2355 | 2569,2355@tier9:customer_loans || 2569@tier9:loss_allowance_coverage,2569.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2022-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,2299 | 2506,2299@tier9:customer_loans || 2506@tier9:non_performing_assets_and_loss_allowance_coverage,2299.0
DBS Group Holdings Ltd,bs.credit.allowances_stage3_sp,Specific allowances balance (ECL stage 3),2025-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,2324 | 2422,2324@tier9:customer_loans || 2422@tier9:non_performing_assets_and_loss_allowance_coverage,2324.0
DBS Group Holdings Ltd,bs.equity.shareholders,Shareholders' equity,2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,188 | 3616,188@tier0:unaudited_consolidated_statement_of_comprehensive_income || 3616@tier0:unaudited_consolidated_income_statement,188.0
DBS Group Holdings Ltd,bs.equity.shareholders,Shareholders' equity,2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,3553 | 3712,3553@tier0:unaudited_consolidated_statement_of_comprehensive_income || 3712@tier0:unaudited_consolidated_income_statement,3553.0
DBS Group Holdings Ltd,bs.equity.shareholders,Shareholders' equity,2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,2641 | 3093,2641@tier0:unaudited_consolidated_statement_of_comprehensive_income || 3093@tier0:unaudited_consolidated_income_statement,2641.0
DBS Group Holdings Ltd,bs.equity.shareholders,Shareholders' equity,2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,67266 | 68845,67266@tier0:selected_balance_sheet_items_m || 68845@tier0:selected_balance_sheet_items_m,67266.0
DBS Group Holdings Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2021-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,613 | 472727,613@tier2:net_interest_income || 472727@tier2:net_interest_income,613.0
DBS Group Holdings Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,544961 | 596073,544961@tier0:selected_balance_sheet_items_m || 596073@tier0:selected_balance_sheet_items_m,544961.0
DBS Group Holdings Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2022-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,2781 | 529356,2781@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022 || 529356@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,2781.0
DBS Group Holdings Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2022-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,3541 | 522227,3541@tier0:average_balance_sheet_year_2022_year_2021 || 522227@tier0:average_balance_sheet_year_2022_year_2021,3541.0
DBS Group Holdings Ltd,bs.liabilities.customer_deposits,Customer deposits (total),2021-12-31,FY,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,1184 | 480569,1184@tier0:average_balance_sheet_year_2022_year_2021 || 480569@tier0:average_balance_sheet_year_2022_year_2021,1184.0
DBS Group Holdings Ltd,bs.liabilities.total,Total liabilities,2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,2,722154 | 812729,722154@tier0:selected_balance_sheet_items_m || 812729@tier0:selected_balance_sheet_items_m,722154.0
