institution,concept_key,concept_name,period,period_span,segment_key,geo_key,industry_key,legal_entity,n_candidates,competing_values,competing_sources,chosen_value
DBS Group Holdings Ltd,reg.capital.rwa,Risk-weighted assets,2025-09-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,9,36660 | 129258 | 216494 | 224354 | 237345 | 366603 | 565256,"36660@tier9:overview_of_rwa || 129258@tier9:comparison_of_modelled_and_standardised_rwa_at_risk_level_30_sep_2025 || 216494@tier9:irba_rwa_flow_statement_for_credit_risk_exposures || 224354@tier9:irba_rwa_flow_statement_for_credit_risk_exposures || 237345@tier9:comparison_of_modelled_and_standardised_rwa_at_risk_level_30_sep_2025 || 366603@tier9:capital_adequacy,comparison_of_modelled_and_standardised_rwa_at_risk_level_30_sep_2025,overview_of_rwa || 565256@tier9:comparison_of_modelled_and_standardised_rwa_at_risk_level_30_sep_2025",366603.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2025-03-31,1Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,9,1883 | 1888,"1883@tier1:financial_highlights,financial_highlights_unaudited,first_quarter_2025_performance,second_quarter_2025_performance || 1888@tier1:financial_highlights,financial_highlights_unaudited",1883.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2025-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,14541 | 709263 | 567310,"14541@tier0:average_balance_sheet,average_balance_sheet_2nd_half_2025_2nd_half_2024_1st_half_2025 || 709263@tier0:average_balance_sheet,average_balance_sheet_2nd_half_2025_2nd_half_2024_1st_half_2025,net_interest_income || 567310@tier2:net_interest_income",709263.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2024-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,15460 | 683738 | 542512,"15460@tier0:average_balance_sheet,average_balance_sheet_2nd_half_2025_2nd_half_2024_1st_half_2025 || 683738@tier0:average_balance_sheet,average_balance_sheet_2nd_half_2025_2nd_half_2024_1st_half_2025,net_interest_income || 542512@tier2:net_interest_income",683738.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2022-06-30,1H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,5778 | 616631 | 1137 | 497743 | 597424,"5778@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 616631@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 1137@tier2:net_interest_income || 497743@tier2:net_interest_income || 597424@tier2:net_interest_income",616631.0
DBS Group Holdings Ltd,bs.assets.iea_average,Average interest-earning assets,2021-12-31,2H,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,5093 | 588828 | 849 | 480138 | 572942,"5093@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 588828@tier0:average_balance_sheet_2nd_half_2022_2nd_half_2021_1st_half_2022,net_interest_income || 849@tier2:net_interest_income || 480138@tier2:net_interest_income || 572942@tier2:net_interest_income",588828.0
DBS Group Holdings Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2025-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,1 | 5212 | 5549,"1@tier0:unaudited_consolidated_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2025_the_group_1_july_2024_to_31_december_2024,unaudited_consolidated_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2025_the_group_1_july_2025_to_31_december_2025 || 5212@tier0:unaudited_consolidated_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2025_the_group_1_july_2025_to_31_december_2025 || 5549@tier0:unaudited_consolidated_statement_of_changes_in_equity_for_the_six_months_ended_31_december_2025_the_group_1_july_2024_to_31_december_2024",5212.0
DBS Group Holdings Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,14.7 | 17,14.7@tier9:overview_of_key_prudential_regulatory_metrics || 17@tier9:overview_of_key_prudential_regulatory_metrics,17.4
DBS Group Holdings Ltd,reg.capital.rwa,Risk-weighted assets,2026-03-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,37052 | 126955 | 226269 | 229686 | 243565 | 370520 | 581835,"37052@tier9:overview_of_rwa || 126955@tier9:comparison_of_modelled_and_standardised_rwa_at_risk_level_31_mar_2026 || 226269@tier9:irba_rwa_flow_statement_for_credit_risk_exposures_31_mar_2026 || 229686@tier9:irba_rwa_flow_statement_for_credit_risk_exposures_31_mar_2026 || 243565@tier9:comparison_of_modelled_and_standardised_rwa_at_risk_level_31_mar_2026 || 370520@tier9:comparison_of_modelled_and_standardised_rwa_at_risk_level_31_mar_2026,overview_of_rwa || 581835@tier9:comparison_of_modelled_and_standardised_rwa_at_risk_level_31_mar_2026",370520.0
DBS Group Holdings Ltd,reg.capital.rwa,Risk-weighted assets,2025-03-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,337954 | 351537 | 352002 | 378255 | 386030,337954@tier9:overview_of_key_prudential_regulatory_metrics || 351537@tier9:overview_of_key_prudential_regulatory_metrics || 352002@tier9:overview_of_key_prudential_regulatory_metrics || 378255@tier9:overview_of_key_prudential_regulatory_metrics || 386030@tier9:overview_of_key_prudential_regulatory_metrics,337954.0
Oversea-Chinese Banking Corporation Ltd,bs.assets.npa,Non-performing assets / loans,2024-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,2827 | 2869,"2827@tier9:non_performing_assets_continued_npls_by_industry,npls_by_industry || 2869@tier9:asset_quality_and_allowances,non_performing_assets_continued_npls_by_industry,npas_by_period_overdue,npls_by_industry",2869.0
United Overseas Bank Ltd,bs.assets.customer_loans_gross,Customer loans (gross),2025-12-31,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,8,62 | 66 | 5455 | 5789 | 328075 | 333930 | 342360 | 347877,62@tier9:classification_of_financial_assets_and_financial_liabilities_dec_25 || 66@tier9:classification_of_financial_assets_and_financial_liabilities_continued_dec_24 || 5455@tier9:classification_of_financial_assets_and_financial_liabilities_dec_25 || 5789@tier9:classification_of_financial_assets_and_financial_liabilities_continued_dec_24 || 328075@tier9:classification_of_financial_assets_and_financial_liabilities_continued_dec_24 || 333930@tier9:classification_of_financial_assets_and_financial_liabilities_continued_dec_24 || 342360@tier9:classification_of_financial_assets_and_financial_liabilities_dec_25 || 347877@tier9:classification_of_financial_assets_and_financial_liabilities_dec_25,62.0
DBS Group Holdings Ltd,bs.liabilities.deposits_casa,CASA deposits,2025-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,7,3719 | 5986 | 8006 | 9646 | 27713 | 153918 | 208988,3719@tier9:customer_deposits || 5986@tier9:customer_deposits || 8006@tier9:customer_deposits || 9646@tier9:customer_deposits || 27713@tier9:customer_deposits || 153918@tier9:customer_deposits || 208988@tier9:customer_deposits,3719.0
Oversea-Chinese Banking Corporation Ltd,pnl.profit.net_attributable,Net profit attributable to shareholders,2024-12-31,4Q,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,7,1687 | 1692,"1687@tier1:financial_highlights,financial_highlights_unaudited,first_quarter_2025_performance,fourth_quarter_2025_performance || 1692@tier1:financial_highlights_unaudited",1687.0
DBS Group Holdings Ltd,bs.liabilities.deposits_casa,CASA deposits,2022-12-31,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,2253 | 8149 | 11565 | 26924 | 137836 | 186727,2253@tier9:customer_deposits || 8149@tier9:customer_deposits || 11565@tier9:customer_deposits || 26924@tier9:customer_deposits || 137836@tier9:customer_deposits || 186727@tier9:customer_deposits,186727.0
DBS Group Holdings Ltd,pnl.nii.net,Net interest income,2025-09-30,,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,5 | -516 | 10696 | 10902 | 10907 | 11212,5@tier0:selected_income_statement_items_m || -516@tier0:selected_income_statement_items_m || 10696@tier0:selected_income_statement_items_m || 10902@tier0:selected_income_statement_items_m || 10907@tier0:selected_income_statement_items_m || 11212@tier0:selected_income_statement_items_m,5.0
DBS Group Holdings Ltd,reg.capital.cet1_ratio,CET1 ratio,2025-06-30,as_at,SEG_TOTAL,GLOBAL,IND_TOTAL,CONSOLIDATED,6,9.2 | 15.1 | 17,9.2@tier9:capital_adequacy || 15.1@tier9:capital_adequacy || 17@tier9:capital_adequacy,9.2
