page,y0,x0,text,font_size,bold,alignment,is_dateish
1,89.14,93.17,FirstQuarter2025ResultsPressRelease,22.1,True,center,False
1,137.27,171.43,OCBCGroupFirstQuarter2025NetProfit,13.4,True,center,False
1,157.43,142.37,Up12%fromthePreviousQuartertoS$1.88billion,13.4,True,center,False
2,389.04,68.88,1Q25Quarter-on-Quarter Performance,10.08,True,left,False
2,509.55,72.16,➢ Non-interest income was up 36%toS$1.31billion.,10.08,False,left,False
3,220.72,68.78,1Q25Year-on-YearPerformance,10.08,True,left,False
6,92.7,69.06,"Message from Group CEO, Helen Wong",12.0,True,left,False
8,91.98,69.19,Further Information,10.08,True,left,False
